2024-07-17 02:27:43 [    INFO] [test_logging] test_a1 (test_logging.py:14)
2024-07-17 02:27:45 [    INFO] [test_logging] test_a2 (test_logging.py:21)
2024-07-17 02:27:45 [    INFO] [test_logging] API call done (test_logging.py:31)
2024-07-17 02:27:45 [   ERROR] [test_logging] test_case03 xfail (test_logging.py:44)
2024-07-17 02:27:45 [   ERROR] [test_logging] func1 ValueError (test_logging.py:36)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 422 Unprocessable Entity" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: PATCH http://testserver/api/v1/property/6f0523a5-2645-4640-88f8-342087251c04 "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 422 Unprocessable Entity" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/mortgage/c5291bdb-5653-4e90-8c3f-e778d4eb6784 "HTTP/1.1 200 OK" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: PATCH http://testserver/api/v1/mortgage/94cd66fa-dccd-47cf-90d7-1a0a51479e51 "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/mortgage/94cd66fa-dccd-47cf-90d7-1a0a51479e51 "HTTP/1.1 200 OK" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: DELETE http://testserver/api/v1/mortgage/84a2e01e-3227-4fa2-aff1-6e9f9ccb2372 "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/mortgage/84a2e01e-3227-4fa2-aff1-6e9f9ccb2372 "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/property/9ad31363-19cc-4830-bcad-9241c9067c27 "HTTP/1.1 200 OK" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: PATCH http://testserver/api/v1/property/7331f2a5-71e2-4b7d-bafe-ff454426e81a "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: DELETE http://testserver/api/v1/property/955e9bb1-12be-4411-97ad-8f8d6ac9a9cc "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/property/955e9bb1-12be-4411-97ad-8f8d6ac9a9cc "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 02:27:45 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 02:27:45 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/fedb1e3a-f01b-444d-9da7-bbfefa00a085/payment "HTTP/1.1 200 OK" (_client.py:1026)
